Date,Type,SubType,Txn Type, Payment Type,Merchant/Receiver/Sender,Category,Bank Name,Account Id,Account Type,Credit,Debit,Balance,Outstanding,Available Limit,Notes
2015/Dec/28 21:55:58,credit-transaction,income,cash-income,cash,"Ankit",Cash Income,Cash Spend,cash,cash,10000.0,0.0,0.0,0.0,0.0,"null"
2015/Dec/28 21:57:08,debit-transaction,expense,cash-spend,cash,"Anjit",Salory,Cash Spend,cash,cash,0.0,500.0,0.0,0.0,0.0,"null"
2015/Dec/28 21:58:45,debit-transaction,expense,cash-spend,cash,"Hardware",Hardware,Cash Spend,cash,cash,0.0,500.0,0.0,0.0,0.0,"ankit steel bird"
2015/Dec/29 00:18:49,debit-transaction,expense,cash-spend,cash,"Home",Miscellaneous,Cash Spend,cash,cash,0.0,500.0,0.0,0.0,0.0,"null"
2015/Dec/29 15:54:43,debit-transaction,expense,cash-spend,cash,"Silicone",Hardware,Cash Spend,cash,cash,0.0,420.0,0.0,0.0,0.0,""
2015/Dec/29 20:41:53,debit-transaction,expense,cash-spend,cash,"Suresh Bevelling",Bevelling,Cash Spend,cash,cash,0.0,1000.0,0.0,0.0,0.0,""
2015/Dec/29 20:42:54,credit-transaction,income,cash-income,cash,"Chander Vihar gurdwara",Cash Income,Cash Spend,cash,cash,15000.0,0.0,0.0,0.0,0.0,""
2015/Dec/30 00:23:26,debit-transaction,expense,cash-spend,cash,"Sunil",Salory,Cash Spend,cash,cash,0.0,1000.0,0.0,0.0,0.0,"null"
2015/Dec/30 00:28:55,debit-transaction,expense,cash-spend,cash,"Doctor",Medical,Cash Spend,cash,cash,0.0,900.0,0.0,0.0,0.0,"null"
2015/Dec/30 00:32:24,debit-transaction,expense,cash-spend,cash,"Home",Household,Cash Spend,cash,cash,0.0,480.0,0.0,0.0,0.0,"null"
2015/Dec/30 23:55:00,debit-transaction,expense,cash-spend,cash,"Mummy Home",Grocery,Cash Spend,cash,cash,0.0,500.0,0.0,0.0,0.0,"null"
2015/Dec/30 23:56:10,debit-transaction,expense,cash-spend,cash,"Home",Household,Cash Spend,cash,cash,0.0,200.0,0.0,0.0,0.0,"null"
2015/Dec/30 23:57:01,debit-transaction,expense,cash-spend,cash,"Gas",Gas,Cash Spend,cash,cash,0.0,250.0,0.0,0.0,0.0,"null"
2015/Dec/30 23:57:39,debit-transaction,expense,cash-spend,cash,"Other",Breakfast,Cash Spend,cash,cash,0.0,50.0,0.0,0.0,0.0,"null"
2015/Dec/30 23:58:53,debit-transaction,expense,cash-spend,cash,"Amrit",Salory,Cash Spend,cash,cash,0.0,200.0,0.0,0.0,0.0,"null"
2015/Dec/30 23:59:47,debit-transaction,expense,cash-spend,cash,"Mummy",Salory,Cash Spend,cash,cash,0.0,500.0,0.0,0.0,0.0,"null"
2015/Dec/31 23:59:59,debit-transaction,debit-cash-forward,cash-forward,cash,"To Jan",Cash Forward,Cash Spend,cash,cash,0.0,18000.0,0.0,0.0,0.0,"null"
2016/Jan/01 00:00:00,credit-transaction,credit-cash-forward,cash-forward,cash,"SELF",Cash Forward,Cash Spend,cash,cash,18000.0,0.0,0.0,0.0,0.0,"null"
2016/Jan/01 00:08:29,debit-transaction,expense,cash-spend,cash,"Hardware",Hardware,Cash Spend,cash,cash,0.0,7500.0,0.0,0.0,0.0,"null"
2016/Jan/01 00:09:50,debit-transaction,expense,cash-spend,cash,"Office",Electricity,Cash Spend,cash,cash,0.0,9000.0,0.0,0.0,0.0,"null"
2016/Jan/01 00:10:23,debit-transaction,expense,cash-spend,cash,"Gas",Gas,Cash Spend,cash,cash,0.0,100.0,0.0,0.0,0.0,"null"
2016/Jan/01 00:10:53,debit-transaction,expense,cash-spend,cash,"Roti",Breakfast,Cash Spend,cash,cash,0.0,100.0,0.0,0.0,0.0,"null"
2016/Jan/01 00:12:33,debit-transaction,expense,cash-spend,cash,"New Year Party",Dining,Cash Spend,cash,cash,0.0,900.0,0.0,0.0,0.0,"null"
2016/Jan/01 18:08:25,debit-transaction,expense,cash-spend,cash,"Anjit",Salory,Cash Spend,cash,cash,0.0,100.0,0.0,0.0,0.0,""
2016/Jan/02 10:08:52,credit-transaction,income,cash-income,cash,"Palam Vihar",Others,Cash Spend,cash,cash,50000.0,0.0,0.0,0.0,0.0,"null"
2016/Jan/02 10:11:16,debit-transaction,expense,cash-spend,cash,"Home",Home,Cash Spend,cash,cash,0.0,250.0,0.0,0.0,0.0,"null"
2016/Jan/02 10:12:04,debit-transaction,expense,cash-spend,cash,"Other",Other,Cash Spend,cash,cash,0.0,50.0,0.0,0.0,0.0,"null"
2016/Jan/02 10:12:58,debit-transaction,expense,cash-spend,cash,"Home",Home,Cash Spend,cash,cash,0.0,200.0,0.0,0.0,0.0,"null"
2016/Jan/02 23:46:49,debit-transaction,expense,cash-spend,cash,"Babba Tempo",Transport,Cash Spend,cash,cash,0.0,3000.0,0.0,0.0,0.0,"null"
2016/Jan/02 23:47:33,debit-transaction,expense,cash-spend,cash,"Aman",Aman,Cash Spend,cash,cash,0.0,1000.0,0.0,0.0,0.0,"null"
2016/Jan/02 23:47:58,debit-transaction,expense,cash-spend,cash,"Suresh",Bevelling,Cash Spend,cash,cash,0.0,200.0,0.0,0.0,0.0,"null"
2016/Jan/02 23:48:22,debit-transaction,expense,cash-spend,cash,"Petrol",Gas,Cash Spend,cash,cash,0.0,200.0,0.0,0.0,0.0,"null"
2016/Jan/02 23:48:50,debit-transaction,expense,cash-spend,cash,"Handle",Hardware,Cash Spend,cash,cash,0.0,500.0,0.0,0.0,0.0,"null"
2016/Jan/02 23:54:44,debit-transaction,expense,cash-spend,cash,"Home",Home,Cash Spend,cash,cash,0.0,250.0,0.0,0.0,0.0,"null"
2016/Jan/02 23:55:38,debit-transaction,expense,cash-spend,cash,"Other",Other,Cash Spend,cash,cash,0.0,250.0,0.0,0.0,0.0,"null"
2016/Jan/03 00:05:08,debit-transaction,expense,cash-spend,cash,"Cable",Cable,Cash Spend,cash,cash,0.0,325.0,0.0,0.0,0.0,"null"
2016/Jan/03 00:05:33,debit-transaction,expense,cash-spend,cash,"Amu",Salory,Cash Spend,cash,cash,0.0,60.0,0.0,0.0,0.0,"100 left till 1.4.16"
2016/Jan/03 23:28:55,debit-transaction,expense,cash-spend,cash,"Chota Chotu",Salory,Cash Spend,cash,cash,0.0,500.0,0.0,0.0,0.0,"null"
2016/Jan/03 23:30:39,debit-transaction,expense,cash-spend,cash,"Home",Fruits,Cash Spend,cash,cash,0.0,1700.0,0.0,0.0,0.0,"sabji and milk"
2016/Jan/03 23:33:54,debit-transaction,expense,cash-spend,cash,"Amu",Salory,Cash Spend,cash,cash,0.0,100.0,0.0,0.0,0.0,"null"
2016/Jan/03 23:35:07,debit-transaction,transfer-out,cash-spend,cash,"Home",Savings,Cash Spend,cash,cash,0.0,2200.0,0.0,0.0,0.0,"null"
2016/Jan/04 23:37:07,debit-transaction,expense,cash-spend,cash,"Mico",Glass,Cash Spend,cash,cash,0.0,20000.0,0.0,0.0,0.0,"null"
2016/Jan/04 23:37:53,debit-transaction,expense,cash-spend,cash,"Paint",Paint,Cash Spend,cash,cash,0.0,3500.0,0.0,0.0,0.0,"null"
2016/Jan/04 23:38:14,debit-transaction,expense,cash-spend,cash,"Sipahi",Salory,Cash Spend,cash,cash,0.0,500.0,0.0,0.0,0.0,"null"
2016/Jan/04 23:38:34,debit-transaction,expense,cash-spend,cash,"Anjeet",Salory,Cash Spend,cash,cash,0.0,300.0,0.0,0.0,0.0,"null"
2016/Jan/04 23:38:48,debit-transaction,expense,cash-spend,cash,"Desu",Other,Cash Spend,cash,cash,0.0,200.0,0.0,0.0,0.0,"null"
2016/Jan/04 23:39:31,credit-transaction,income,cash-income,cash,"Mani Aluminium",Others,Cash Spend,cash,cash,5000.0,0.0,0.0,0.0,0.0,"advance"
2016/Jan/04 23:42:33,debit-transaction,expense,cash-spend,cash,"Rechatge",Mobile,Cash Spend,cash,cash,0.0,100.0,0.0,0.0,0.0,"null"
2016/Jan/04 23:43:24,debit-transaction,expense,cash-spend,cash,"Home",Home,Cash Spend,cash,cash,0.0,215.0,0.0,0.0,0.0,"null"
2016/Jan/05 23:25:19,credit-transaction,income,cash-income,cash,"Kikkar Chowk",Others,Cash Spend,cash,cash,5000.0,0.0,0.0,0.0,0.0,"null"
2016/Jan/05 23:26:04,debit-transaction,expense,cash-spend,cash,"Hardas",Glass,Cash Spend,cash,cash,0.0,10000.0,0.0,0.0,0.0,"25000 cheque to hrdas"
2016/Jan/05 23:28:21,debit-transaction,expense,cash-spend,cash,"Steel",Steel,Cash Spend,cash,cash,0.0,4000.0,0.0,0.0,0.0,"null"
2016/Jan/05 23:31:30,credit-transaction,income,cash-income,cash,"Paschim Vihar Gurdwara",Others,Cash Spend,cash,cash,15000.0,0.0,0.0,0.0,0.0,"null"
2016/Jan/05 23:49:06,debit-transaction,expense,cash-spend,cash,"Gas",Gas,Cash Spend,cash,cash,0.0,300.0,0.0,0.0,0.0,"null"
2016/Jan/05 23:49:41,debit-transaction,expense,cash-spend,cash,"Chota Chotu",Salory,Cash Spend,cash,cash,0.0,100.0,0.0,0.0,0.0,"null"
2016/Jan/06 00:12:48,debit-transaction,expense,cash-spend,cash,"Amu Book",Books,Cash Spend,cash,cash,0.0,300.0,0.0,0.0,0.0,"null"
2016/Jan/06 00:15:41,debit-transaction,expense,cash-spend,cash,"Milk",Grocery,Cash Spend,cash,cash,0.0,100.0,0.0,0.0,0.0,"null"
2016/Jan/06 00:17:11,debit-transaction,expense,cash-spend,cash,"Hardware",Hardware,Cash Spend,cash,cash,0.0,300.0,0.0,0.0,0.0,""
